tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0446977,movie,Croisières pour couples en chaleur,Croisières pour couples en chaleur,1,1980,,80,Adult,5.8,46
tt0447347,movie,Excess in the Ladies Clinic,Parties très spéciales,1,1981,,75,Adult,6.2,40
tt0451737,movie,A Galinha do Rabo de Ouro,A Galinha do Rabo de Ouro,1,1987,,83,Adult,5.5,7
tt0451748,movie,A Gosto do Freguês,A Gosto do Freguês,1,1984,,85,Adult,3.6,5
tt0451861,tvMovie,Le plaisir à 20 ans,Le plaisir à 20 ans,1,2004,,,Adult,5.0,18
tt0451913,movie,Sexo Selvagem dos Filhos da Noite,Sexo Selvagem dos Filhos da Noite,1,1987,,,Adult,3.0,6
tt0456168,movie,The Mark,Erotiki yperentasi,1,1977,,88,"Action,Adult,Crime",4.8,65
tt0456429,movie,Gemini,Gemini,1,1977,,60,"Adult,Drama",7.4,13
tt0456529,movie,A Mansão do Sexo Explícito,A Mansão do Sexo Explícito,1,1985,,74,Adult,7.4,15
tt0456563,movie,Night of the Occultist,Night of the Occultist,1,1973,,51,"Adult,Horror",6.1,12
tt0456587,movie,Paraíso da Sacanagem,Paraíso da Sacanagem,1,1984,,80,Adult,6.3,16
tt0456653,movie,Sedentas de Sexo,Sedentas de Sexo,1,1984,,75,Adult,5.6,9
tt0456672,movie,Station to Station,Station to Station,1,1974,,68,"Adult,Drama",6.2,9
tt0456685,movie,As Taras de Um Minivampiro,As Taras de Um Minivampiro,1,1987,,61,Adult,5.2,36
tt0457887,movie,"Eva, O Princípio do Sexo","Eva, O Princípio do Sexo",1,1981,,80,"Adult,Drama",5.0,43
tt0457950,movie,O Império do Sexo Explícito,O Império do Sexo Explícito,1,1985,,80,"Action,Adult,Crime",4.0,17
tt0458570,movie,"Abre as Pernas, Coração","Abre as Pernas, Coração",1,1985,,,Adult,6.0,5
tt0458634,movie,Dama de Paus,Dama de Paus,1,1989,,64,Adult,4.4,23
tt0458828,movie,"Macho, Fêmea & Cia.","Macho, Fêmea & Cia.",1,1986,,68,Adult,5.8,18
tt0459011,movie,A Gunman Named Papaco,Um Pistoleiro Chamado Papaco,1,1986,,70,"Adult,Comedy,Western",6.7,309
tt0459021,movie,A Vingança de Uma Mulher,A Vingança de Uma Mulher,1,1987,,,Adult,4.2,6
tt0461780,movie,Hard Core Story,Hard Core Story,1,1975,,97,,4.4,9
tt0468857,movie,Senta,Senta,1,1972,,59,Adult,4.6,36
tt0472512,movie,Black Silk Stockings,Black Silk Stockings,1,1978,,67,Adult,5.1,53
tt0473690,movie,Porcellone e porcellini,Porcellone e porcellini,1,1985,,,Adult,3.4,9
tt0474372,movie,Sodomies brûlantes,Sodomies brûlantes,1,1987,,80,Adult,5.1,30
tt0474921,movie,Le sexe qui jouit,Le sexe qui jouit,1,1978,,90,Adult,4.6,12
tt0475088,movie,The Hardy Girls,The Hardy Girls,1,1974,,90,Adult,3.9,14
tt0476165,movie,"Candice, petite fille sans culotte","Candice, petite fille sans culotte",1,1981,,80,,6.2,8
tt0476228,movie,Les filles du camping,Les filles du camping,1,1982,,80,Adult,5.4,15
tt0477265,movie,Barmaids à jouir,Barmaids à jouir,1,1979,,75,,5.2,16
tt0477816,movie,Piccadilly Pickups,Piccadilly Pickups,1,2000,,85,"Adult,Comedy",4.1,36
tt0479377,movie,Dragues,Dragues,1,1978,,75,Adult,7.5,8
tt0479558,movie,Cock Story,Un couple moderne,1,1978,,80,Adult,8.1,10
tt0480722,movie,Queer Factory Tales 2,Queerft 2,1,2005,,75,"Adult,Fantasy",6.6,46
tt0484252,movie,Abflug Bermudas,Abflug Bermudas,1,1976,,93,"Adult,Crime,Thriller",4.9,29
