Title,Year,Genres,Rating,Votes
Thirteen Women,1932.0,"Crime,Drama,Horror",6.2,2033
The Thirteenth Guest,1932.0,"Drama,Horror,Mystery",5.7,978
Unheimliche Geschichten,1932.0,"Comedy,Horror,Sci-Fi",6.4,160
Vampyr,1932.0,"Fantasy,Horror",7.4,21545
White Zombie,1932.0,Horror,6.2,12123
Before Dawn,1933.0,"Crime,Drama,Horror",6.0,537
Il caso Haller,1933.0,"Horror,Mystery,Thriller",5.1,18
The Ghoul,1933.0,"Action,Drama,Horror",5.8,3465
The Invisible Man,1933.0,"Horror,Sci-Fi",7.6,41784
Island of Lost Souls,1932.0,"Film-Noir,Horror,Sci-Fi",7.3,11586
King Kong,1933.0,"Adventure,Horror",7.9,93209
La llorona,1933.0,"Horror,Mystery",5.7,395
Murders in the Zoo,1933.0,"Crime,Horror",6.4,1880
Mystery of the Wax Museum,1933.0,"Horror,Mystery,Thriller",6.8,7128
Night of Terror,1933.0,"Drama,Horror,Mystery",5.5,870
Secret of the Blue Room,1933.0,"Crime,Drama,Horror",6.4,1266
A Study in Scarlet,1933.0,"Drama,Horror,Mystery",5.6,1269
Supernatural,1933.0,"Horror,Mystery,Thriller",6.2,1035
Terror Aboard,1933.0,"Crime,Horror,Mystery",6.5,163
The Vampire Bat,1933.0,"Drama,Horror,Mystery",5.7,3198
The Black Cat,1934.0,"Crime,Horror,Romance",6.9,13601
Black Moon,1934.0,"Drama,Horror",5.9,864
Dos monjes,1934.0,"Drama,Horror,Mystery",7.0,801
Double Door,1934.0,"Drama,Horror,Mystery",6.8,454
The Beast of Borneo,1934.0,"Drama,Horror",3.3,164
El fantasma del convento,1934.0,"Adventure,Drama,Horror",6.9,515
The Ghost Walks,1934.0,"Comedy,Horror,Mystery",5.6,681
Life Returns,1934.0,"Drama,Horror,Sci-Fi",3.9,279
Maniac,1934.0,"Horror,Sci-Fi",3.7,2789
The Ninth Guest,1934.0,"Drama,Horror,Mystery",6.7,736
The Pointing Finger,1933.0,"Crime,Drama,Horror",5.0,72
Air Hawks,1935.0,"Action,Drama,Horror",5.9,256
The Black Room,1935.0,Horror,6.9,2445
The Bride of Frankenstein,1935.0,"Drama,Horror,Sci-Fi",7.8,55492
Condemned to Live,1935.0,"Drama,Horror,Mystery",4.8,618
The Ghost Goes West,1935.0,"Comedy,Fantasy,Horror",6.7,2235
Mad Love,1935.0,"Horror,Romance,Sci-Fi",7.2,6097
Mark of the Vampire,1935.0,"Horror,Mystery",6.2,5797
Mystery of Edwin Drood,1935.0,"Crime,Drama,Horror",6.4,644
The Mystery of the Mary Celeste,1935.0,"Drama,Horror,Mystery",5.4,1134
One Frightened Night,1935.0,"Comedy,Horror,Mystery",6.0,483
Ouanga,1936.0,Horror,4.7,137
The Raven,1935.0,"Crime,Horror",6.8,6908
Der Student von Prag,1935.0,Horror,6.8,210
Werewolf of London,1935.0,"Drama,Fantasy,Horror",6.3,6856
El baúl macabro,1936.0,"Horror,Mystery,Sci-Fi",5.4,60
The Crime of Doctor Crespi,1935.0,"Crime,Horror,Mystery",5.5,425
