Title,Year,Genres,Rating,Votes
The Toilers,1919.0,"Drama,Romance",6.2,10
The Trap,1919.0,"Drama,Romance",5.1,20
True Heart Susie,1919.0,"Comedy,Drama,Romance",6.9,2066
The Valley of the Giants,1919.0,"Drama,Romance",6.6,53
Victory,1919.0,"Drama,Romance",6.4,479
A Virtuous Vamp,1919.0,"Comedy,Romance",6.2,34
When the Clouds Roll By,1919.0,"Action,Comedy,Romance",6.9,1019
Wings of the Morning,1919.0,"Adventure,Drama,Romance",2.6,24
A Woman There Was,1919.0,"Drama,Romance",5.7,23
You're Fired,1919.0,"Comedy,Romance",7.5,17
Anna Boleyn,1920.0,"Biography,Drama,Romance",6.5,827
Arme Violetta,1920.0,"Drama,Romance",6.3,22
The Dancin' Fool,1920.0,"Comedy,Romance",5.2,20
Drag Harlan,1920.0,"Action,Romance,Western",6.9,22
Erotikon,1920.0,"Comedy,Romance",6.4,1096
Fante-Anne,1920.0,"Crime,Drama,Romance",6.2,182
The Flapper,1920.0,"Comedy,Romance",6.4,456
Genuine,1920.0,"Fantasy,Horror,Romance",5.9,1204
Good References,1920.0,"Comedy,Romance",6.2,22
Kohlhiesels Töchter,1920.0,"Comedy,Romance",6.5,494
The Love Expert,1920.0,"Comedy,Romance",5.9,184
The Mark of Zorro,1920.0,"Adventure,Romance,Western",7.0,2904
Mid-Channel,1920.0,"Drama,Romance",5.8,46
The Mollycoddle,1920.0,"Adventure,Comedy,Romance",6.6,224
An Old Fashioned Boy,1920.0,"Comedy,Romance",7.3,31
Pink Tights,1920.0,"Comedy,Drama,Romance",5.6,70
The Saphead,1920.0,"Comedy,Drama,Romance",6.1,1839
Sehnsucht,1920.0,"Drama,Romance",6.8,82
Sick Abed,1920.0,"Comedy,Romance",6.0,22
Stronger Than Death,1920.0,"Drama,Romance",6.9,30
Suds,1920.0,"Comedy,Drama,Romance",6.3,303
Sumurun,1920.0,"Adventure,Drama,Romance",6.0,861
Twins of Suffering Creek,1920.0,"Action,Drama,Romance",7.1,27
Das wandernde Bild,1920.0,Romance,5.9,645
Way Down East,1920.0,"Drama,Romance",7.3,6073
What Happened to Rosa,1920.0,"Comedy,Romance",6.2,137
Within Our Gates,1920.0,"Drama,Romance",6.4,3822
Yes or No,1920.0,"Drama,Romance",6.4,37
As God Made Her,1920.0,Romance,5.2,12
After the Show,1921.0,"Drama,Romance",6.6,17
Amor de Perdição,1921.0,"Drama,Family,Romance",6.4,15
Annabelle Lee,1921.0,"Drama,Romance",5.5,40
The Avenging Arrow,1921.0,"Action,Adventure,Romance",4.5,28
Die Bergkatze,1921.0,"Comedy,Drama,Romance",6.8,1381
The Blot,1921.0,"Drama,Romance",6.7,726
Buried Treasure,1921.0,"Adventure,Fantasy,Romance",6.0,199
Camille,1921.0,"Drama,Romance",6.5,1094
The Charm School,1921.0,"Comedy,Romance",4.3,15
The Conquering Power,1921.0,"Drama,Romance",6.8,564
Cousin Kate,1921.0,"Comedy,Romance",6.2,14
Daniel Deronda,1921.0,Romance,6.3,13
Don't Tell Everything,1921.0,"Comedy,Romance",5.9,31
Dream Street,1921.0,"Comedy,Drama,Romance",5.5,219
Ducks and Drakes,1921.0,"Comedy,Romance",6.4,138
Felix,1921.0,"Drama,Romance",4.8,20
Fighting Fate,1921.0,"Action,Drama,Romance",6.8,24
Fool's Paradise,1921.0,Romance,7.0,90
Forever,1921.0,"Drama,Fantasy,Romance",5.8,16
The Four Feathers,1921.0,"Adventure,Drama,Romance",3.5,28
The Four Horsemen of the Apocalypse,1921.0,"Drama,Romance,War",7.1,3658
Innocent,1921.0,"Drama,Romance",7.6,19
Jackie,1921.0,"Drama,Romance",4.9,53
Jomfru Trofast,1921.0,"Drama,Romance",6.1,11
Justice d'abord,1921.0,"Drama,Romance",6.4,16
Ladies Must Live,1921.0,"Drama,Romance",7.1,66
The Last Trail,1921.0,"Action,Romance,Western",5.8,19
Laughter and Tears,1921.0,"Drama,Romance",5.3,16
Lessons in Love,1921.0,"Comedy,Romance",7.6,15
The Lotus Eater,1921.0,"Drama,Romance",6.8,52
Mama's Affair,1921.0,"Comedy,Romance",4.8,35
The Nut,1921.0,"Action,Comedy,Romance",6.5,309
Orphans of the Storm,1921.0,"Drama,History,Romance",7.3,5621
Outside the Law,1920.0,"Crime,Romance,Thriller",6.5,791
The Sea Lion,1921.0,"Adventure,Drama,Romance",6.0,123
Serenade,1921.0,"Drama,Romance",3.9,15
The Sheik,1921.0,"Adventure,Drama,Romance",6.2,3774
A Small Town Idol,1921.0,"Action,Comedy,Romance",6.4,79
Uncharted Seas,1921.0,"Drama,Romance",6.7,21
Värmlänningarna,1921.0,"Drama,Romance",7.5,17
The Whistle,1921.0,"Drama,Romance",6.3,84
Woman's Place,1921.0,"Comedy,Romance",4.0,33
Anna Ascends,1922.0,"Drama,Romance",3.9,35
Beauty's Worth,1922.0,"Comedy,Drama,Romance",6.3,919
Beyond the Rocks,1922.0,"Drama,Romance",6.7,2435
Blood and Sand,1922.0,"Drama,Romance,Sport",6.3,1590
The Bohemian Girl,1922.0,Romance,6.4,70
The Bonded Woman,1922.0,"Adventure,Drama,Romance",2.7,24
The Bride's Play,1922.0,"Drama,Romance",6.1,335
Broken Chains,1922.0,"Adventure,Drama,Romance",5.2,23
Conquering the Woman,1922.0,"Drama,Romance",5.5,24
The Crimson Challenge,1922.0,"Action,Adventure,Romance",3.1,29
Dr. Jack,1922.0,"Comedy,Romance",7.1,1722
Down to the Sea in Ships,1922.0,"Adventure,Drama,Romance",6.1,410
East Is West,1922.0,"Comedy,Romance",6.9,26
Extra! Extra!,1922.0,"Adventure,Drama,Romance",5.1,19
Fortune's Mask,1922.0,"Drama,Romance",6.2,15
Fox Farm,1922.0,"Drama,Romance",6.2,31
Her Gilded Cage,1922.0,"Drama,Romance",6.7,25
Hungry Hearts,1922.0,"Drama,Romance",6.5,41
Kindred of the Dust,1922.0,"Drama,Romance",5.5,32
Kjærlighet på pinde,1922.0,"Comedy,Romance",4.8,12
Kärlekens ögon,1922.0,"Crime,Romance",6.2,76
The Light in the Dark,1922.0,"Crime,Drama,Romance",6.1,188
Little Wildcat,1922.0,"Drama,Romance",5.8,14
Lorna Doone,1922.0,"Drama,Romance",6.6,338
A Lover's Oath,1925.0,"Fantasy,Romance",5.9,28
Missing Millions,1922.0,"Crime,Drama,Romance",5.2,15
Monte Cristo,1922.0,"Drama,Romance",6.8,456
Nice People,1922.0,"Comedy,Drama,Romance",5.7,25
Omar the Tentmaker,1922.0,"Drama,Romance",6.7,25
On the High Seas,1922.0,"Action,Adventure,Romance",7.0,24
Only a Shop Girl,1922.0,"Crime,Drama,Romance",5.8,15
Othello,1922.0,"Drama,Romance",6.3,312
Phantom,1922.0,"Drama,Romance",6.7,2012
Pink Gods,1922.0,"Drama,Romance",8.0,13
Polly of the Follies,1922.0,"Comedy,Romance",6.6,19
The Primitive Lover,1922.0,"Comedy,Romance",6.3,139
The Prisoner of Zenda,1922.0,"Adventure,Romance",6.8,577
Reckless Youth,1922.0,"Drama,Romance",6.0,36
Robin Hood,1922.0,"Adventure,Family,Romance",7.0,2562
Saturday Night,1922.0,"Comedy,Romance",6.7,170
The Seventh Day,1922.0,"Drama,Romance",6.5,151
Sky High,1922.0,"Action,Drama,Romance",6.0,350
The Song of Love,1923.0,"Drama,Romance",6.2,51
Tess of the Storm Country,1922.0,"Drama,Romance",7.0,534
Trifling Women,1922.0,"Drama,Romance",7.5,29
The Valley of Silent Men,1922.0,"Action,Drama,Romance",6.6,69
The Village Blacksmith,1922.0,"Drama,Romance",5.3,134
The Wall Flower,1922.0,"Drama,Romance",5.1,18
When Knighthood Was in Flower,1922.0,"Drama,Romance",6.5,1153
Roman Candles,1920.0,"Comedy,Drama,Romance",5.0,22
The Young Rajah,1922.0,"Drama,Romance",6.1,432
All the Brothers Were Valiant,1923.0,"Adventure,Drama,Romance",6.8,34
Alt Heidelberg,1923.0,"Drama,Romance",7.6,15
Bella Donna,1923.0,"Drama,Romance",7.3,38
