Title,Year,Genres,Rating,Votes
Le mystère Picasso,1956.0,"Biography,Documentary,History",7.6,2788
The Naked Eye,1956.0,Documentary,6.2,23
Rockin' the Blues,1956.0,"Comedy,Documentary,Music",7.6,14
Secrets of Life,1956.0,"Documentary,Family",7.3,361
Seven Wonders of the World,1956.0,"Documentary,History",7.1,193
Vertigine bianca,1956.0,"Documentary,Sport",6.8,141
Albert Schweitzer,1957.0,"Biography,Documentary,History",6.0,152
En djungelsaga,1957.0,"Adventure,Documentary,Drama",6.6,137
L'incanto della foresta,1957.0,Documentary,6.0,12
The James Dean Story,1957.0,"Biography,Documentary",6.2,730
Lettre de Sibérie,1958.0,Documentary,7.4,956
La muraglia cinese,1958.0,Documentary,6.2,14
On the Bowery,1956.0,"Documentary,Drama",7.3,1234
Search for Paradise,1957.0,Documentary,7.5,86
This Is Russia!,1957.0,Documentary,7.9,12
Torero,1956.0,"Documentary,Drama",6.5,133
Die Windrose,1957.0,Documentary,5.1,40
Antarctic Crossing,1959.0,Documentary,6.2,27
Araya,1959.0,Documentary,7.6,885
Cuenca,1958.0,Documentary,6.2,33
Letters from China,1958.0,Documentary,7.0,12
Los pequeños gigantes,1960.0,"Documentary,Drama,Romance",8.1,60
Les rendez-vous du diable,1959.0,Documentary,7.3,39
We Are the Lambeth Boys,1959.0,Documentary,6.8,297
White Wilderness,1958.0,"Documentary,Family",5.3,563
Windjammer: The Voyage of the Christian Radich,1958.0,"Documentary,Romance",7.5,307
Attack of the Jungle Women,1959.0,"Documentary,Drama,History",4.1,41
Den blodiga tiden,1960.0,"Documentary,Drama,War",7.6,399
Europa di notte,1959.0,Documentary,6.7,63
India: Matri Bhumi,1959.0,"Documentary,Drama",7.2,761
Invitation to Monte Carlo,1959.0,Documentary,7.1,20
Jazz on a Summer's Day,1959.0,"Documentary,Music",7.9,2062
Les seigneurs de la forêt,1958.0,Documentary,6.5,70
Moana,1959.0,Documentary,5.8,8
O Pão,1959.0,Documentary,7.3,79
The Race for Space,1959.0,Documentary,6.4,61
Serengeti darf nicht sterben,1959.0,Documentary,7.8,450
Between Two Rivers,1960.0,Documentary,7.5,39
Le ciel et la boue,1961.0,Documentary,7.1,312
Cirkus jede,1961.0,Documentary,4.5,9
The Fabulous Fifties,1960.0,Documentary,7.3,43
Faja lobbi,1960.0,Documentary,7.8,27
"Io amo, tu ami",1961.0,Documentary,6.9,25
L'Italia non è un paese povero,1960.0,Documentary,7.2,37
Jungle Cat,1960.0,"Documentary,Family",7.2,451
Kamikaze,1960.0,Documentary,7.1,17
The Making of the President 1960,1963.0,"Documentary,History",7.7,35
Primary,1960.0,"Documentary,History,News",7.1,1571
Rebel in Paradise,1960.0,Documentary,7.1,12
Spirit of the Alamo,1960.0,"Biography,Documentary,History",8.3,17
When Comedy Was King,1960.0,"Comedy,Documentary,History",7.5,369
After Mein Kampf,1961.0,"Documentary,War",3.9,79
Chronique d'un été (Paris 1960),1961.0,"Documentary,History",7.5,3776
Days of Thrills and Laughter,1961.0,"Adventure,Comedy,Documentary",7.1,219
Description d'un combat,1960.0,Documentary,7.0,250
Traumland der Sehnsucht,1961.0,Documentary,6.8,9
Eichmann und das Dritte Reich,1961.0,Documentary,6.2,14
La grande olimpiade,1961.0,"Documentary,Sport",6.9,135
Hollywood: The Golden Years,1961.0,"Documentary,History",8.0,62
The Horse with the Flying Tail,1960.0,"Documentary,Family",6.1,222
Italia '61,1961.0,"Documentary,Family",2.2,10
Naked Terror,1961.0,Documentary,7.7,19
Naked as Nature Intended,1961.0,"Comedy,Documentary",4.2,167
"Le Niger, jeune république",1961.0,Documentary,6.5,8
Of Stars and Men,1961.0,"Animation,Documentary",6.8,149
Rabindranath Tagore,1961.0,"Biography,Documentary",7.2,432
Le temps du ghetto,1961.0,Documentary,7.6,17
¡Cuba Sí!,1961.0,Documentary,7.3,116
All'armi siam fascisti!,1962.0,"Documentary,History",7.1,74
Alvorada,1962.0,Documentary,7.1,28
Best of Cinerama,1963.0,Documentary,7.1,122
Black Fox: The True Story of Adolf Hitler,1962.0,"Biography,Documentary,History",6.9,220
Cortile Cascino,1962.0,Documentary,6.5,22
La donna nel mondo,1963.0,Documentary,5.5,417
Vom Zaren bis zu Stalin,1962.0,Documentary,6.5,17
Garrincha - Alegria do Povo,1962.0,"Documentary,Sport",7.0,297
Kolmen kaupungin kasvot,1962.0,"Documentary,History",6.2,30
Regards sur la folie,1962.0,Documentary,6.7,33
The Smashing of the Reich,1961.0,"Documentary,War",7.1,20
Il mondo di notte numero 2,1961.0,Documentary,6.3,33
14-18,1963.0,Documentary,6.7,35
Alleman,1963.0,Documentary,7.7,511
Il mondo di notte,1960.0,Documentary,6.4,42
