Title,Year,Genres,Rating,Votes
Tainstvennyy ostrov,1941,"Adventure,Family,Sci-Fi",6.7,149
Tror du jeg er født i Gaar!,1941,"Comedy,Family,Musical",5.2,23
Andy Hardy's Double Life,1942,"Comedy,Family,Romance",6.5,650
Aniki Bóbó,1942,"Drama,Family",7.6,1949
Babes on Broadway,1941,"Comedy,Family,Musical",6.6,1721
Blondie Goes to College,1942,"Comedy,Family",6.1,380
Blondie for Victory,1942,"Comedy,Family,War",6.1,217
Blondie's Blessed Event,1942,"Comedy,Family",6.5,308
The Courtship of Andy Hardy,1942,"Adventure,Comedy,Family",6.6,672
Frk. Vildkat,1942,"Comedy,Family,Music",6.8,70
"Henry Aldrich, Editor",1942,"Comedy,Drama,Family",6.4,165
Henry and Dizzy,1942,"Comedy,Family",7.0,67
Iceland,1942,"Comedy,Family,Musical",5.7,227
Jungle Book,1942,"Action,Adventure,Family",6.7,4839
Klyatva Timura,1942,"Adventure,Family",6.0,50
Lykken kommer,1942,"Comedy,Family,Romance",5.8,33
Road to Morocco,1942,"Adventure,Comedy,Family",7.0,6031
Sharda,1942,"Drama,Family",5.6,10
Spy Smasher,1942,"Action,Adventure,Family",6.9,436
Tyrannens Fald,1942,"Drama,Family",6.1,15
A Yank at Eton,1942,"Comedy,Family",6.1,495
Yankee Doodle Dandy,1942,"Biography,Drama,Family",7.6,17387
Batman,1943,"Action,Crime,Family",6.0,2591
Footlight Glamour,1943,"Comedy,Family,Romance",6.6,202
Henry Aldrich Gets Glamour,1943,"Adventure,Comedy,Family",6.5,137
Henry Aldrich Haunts a House,1943,"Adventure,Comedy,Family",6.2,160
Henry Aldrich Swings It,1943,"Comedy,Family",8.2,118
The Human Comedy,1943,"Comedy,Drama,Family",7.0,2611
It's a Great Life,1943,"Comedy,Family",6.5,216
Kajan går till sjöss,1943,"Adventure,Comedy,Family",5.9,55
Lassie Come Home,1943,"Adventure,Drama,Family",7.1,6124
Moster fra Mols,1943,"Comedy,Family",5.8,36
My Friend Flicka,1943,"Action,Drama,Family",6.5,1076
Padre nuestro,1953,"Drama,Family",6.6,13
Som du vil ha' mig,1943,"Comedy,Family",7.0,65
Suomisen taiteilijat,1943,"Comedy,Drama,Family",5.4,103
Andy Hardy's Blonde Trouble,1944,"Comedy,Family,Romance",6.5,665
